Data,SELIC
02/01/2017,50788
03/01/2017,50788
04/01/2017,50788
05/01/2017,50788
06/01/2017,50788
09/01/2017,50788
10/01/2017,50788
11/01/2017,50788
12/01/2017,48159
13/01/2017,48159
16/01/2017,48159
17/01/2017,48159
18/01/2017,48159
19/01/2017,48159
20/01/2017,48159
23/01/2017,48159
24/01/2017,48159
25/01/2017,48159
26/01/2017,48159
27/01/2017,48159
30/01/2017,48159
31/01/2017,48159
01/02/2017,48159
02/02/2017,48159
03/02/2017,48159
06/02/2017,48159
07/02/2017,48159
08/02/2017,48159
09/02/2017,48159
10/02/2017,48159
13/02/2017,48159
14/02/2017,48159
15/02/2017,48159
16/02/2017,48159
17/02/2017,48159
20/02/2017,48159
21/02/2017,48159
22/02/2017,48159
23/02/2017,45513
24/02/2017,45513
01/03/2017,45513
02/03/2017,45513
03/03/2017,45513
06/03/2017,45513
07/03/2017,45513
08/03/2017,45513
09/03/2017,45513
10/03/2017,45513
13/03/2017,45513
14/03/2017,45513
15/03/2017,45513
16/03/2017,45513
17/03/2017,45513
20/03/2017,45513
21/03/2017,45513
22/03/2017,45513
23/03/2017,45513
24/03/2017,45513
27/03/2017,45513
28/03/2017,45513
29/03/2017,45513
30/03/2017,45513
31/03/2017,45513
03/04/2017,45513
04/04/2017,45513
05/04/2017,45513
06/04/2017,45513
07/04/2017,45513
10/04/2017,45513
11/04/2017,45513
12/04/2017,45513
13/04/2017,41957
17/04/2017,41957
18/04/2017,41957
19/04/2017,41957
20/04/2017,41957
24/04/2017,41957
25/04/2017,41957
26/04/2017,41957
27/04/2017,41957
28/04/2017,41957
02/05/2017,41957
03/05/2017,41957
04/05/2017,41957
05/05/2017,41957
08/05/2017,41957
09/05/2017,41957
10/05/2017,41957
11/05/2017,41957
12/05/2017,41957
15/05/2017,41957
16/05/2017,41957
17/05/2017,41957
18/05/2017,41957
19/05/2017,41957
22/05/2017,41957
23/05/2017,41957
24/05/2017,41957
25/05/2017,41957
26/05/2017,41957
29/05/2017,41957
30/05/2017,41957
31/05/2017,41957
01/06/2017,38370
02/06/2017,38370
05/06/2017,38370
06/06/2017,38370
07/06/2017,38370
08/06/2017,38370
09/06/2017,38370
12/06/2017,38370
13/06/2017,38370
14/06/2017,38370
16/06/2017,38370
19/06/2017,38370
20/06/2017,38370
21/06/2017,38370
22/06/2017,38370
23/06/2017,38370
26/06/2017,38370
27/06/2017,38370
28/06/2017,38370
29/06/2017,38370
30/06/2017,38370
03/07/2017,38370
04/07/2017,38370
05/07/2017,38370
06/07/2017,38370
07/07/2017,38370
10/07/2017,38370
11/07/2017,38370
12/07/2017,38370
13/07/2017,38370
14/07/2017,38370
17/07/2017,38370
18/07/2017,38370
19/07/2017,38370
20/07/2017,38370
21/07/2017,38370
24/07/2017,38370
25/07/2017,38370
26/07/2017,38370
27/07/2017,34749
28/07/2017,34749
31/07/2017,34749
01/08/2017,34749
02/08/2017,34749
03/08/2017,34749
04/08/2017,34749
07/08/2017,34749
08/08/2017,34749
09/08/2017,34749
10/08/2017,34749
11/08/2017,34749
14/08/2017,34749
15/08/2017,34749
16/08/2017,34749
17/08/2017,34749
18/08/2017,34749
21/08/2017,34749
22/08/2017,34749
23/08/2017,34749
24/08/2017,34749
25/08/2017,34749
28/08/2017,34749
29/08/2017,34749
30/08/2017,34749
31/08/2017,34749
01/09/2017,34749
04/09/2017,34749
05/09/2017,34749
06/09/2017,34749
08/09/2017,31096
11/09/2017,31096
12/09/2017,31096
13/09/2017,31096
14/09/2017,31096
15/09/2017,31096
18/09/2017,31096
19/09/2017,31096
20/09/2017,31096
21/09/2017,31096
22/09/2017,31096
25/09/2017,31096
26/09/2017,31096
27/09/2017,31096
28/09/2017,31096
29/09/2017,31096
02/10/2017,31096
03/10/2017,31096
04/10/2017,31096
05/10/2017,31096
06/10/2017,31096
09/10/2017,31096
10/10/2017,31096
11/10/2017,31096
13/10/2017,31096
16/10/2017,31096
17/10/2017,31096
18/10/2017,31096
19/10/2017,31096
20/10/2017,31096
23/10/2017,31096
24/10/2017,31096
25/10/2017,31096
26/10/2017,28333
27/10/2017,28333
30/10/2017,28333
31/10/2017,28333
01/11/2017,28333
03/11/2017,28333
06/11/2017,28333
07/11/2017,28333
08/11/2017,28333
09/11/2017,28333
10/11/2017,28333
13/11/2017,28333
14/11/2017,28333
16/11/2017,28333
17/11/2017,28333
20/11/2017,28333
21/11/2017,28333
22/11/2017,28333
23/11/2017,28333
24/11/2017,28333
27/11/2017,28333
28/11/2017,28333
29/11/2017,28333
30/11/2017,28333
01/12/2017,28333
04/12/2017,28333
05/12/2017,28333
06/12/2017,28333
07/12/2017,26481
08/12/2017,26481
11/12/2017,26481
12/12/2017,26481
13/12/2017,26481
14/12/2017,26481
15/12/2017,26481
18/12/2017,26481
19/12/2017,26481
20/12/2017,26481
21/12/2017,26481
22/12/2017,26481
26/12/2017,26481
27/12/2017,26481
28/12/2017,26481
29/12/2017,26481
02/01/2018,26481
03/01/2018,26481
04/01/2018,26481
05/01/2018,26481
08/01/2018,26481
09/01/2018,26481
10/01/2018,26481
